id,country_region,scholarship_name,provider,degree_level,deadline,detailed_eligibility,link,price,created_at
33,,Oxford and Cambridge Society of India (OCSI) Scholarships,N/A,Postgraduate,"May 31 ,2024","In the first place, students need to opt for any part-time or full-timeprograms at Cambridge University, Oxford University or in any of the colleges affiliated by the two to be eligible for the scholarship. Further shortlisting of the candidates is done on the basis of the eligibility criteria defined by the universities.Eligibility criteriaas per the universities::Must be an Indian citizen, residing in the country.Must not be older than 30 years of age, as of September 1, on the year as per the year of application for the award.Must have secured admission to Cambridge or Oxford University.Must have proof of residence at Oxford or Cambridge before the scholarship funds are released.Note:Candidates are supposed to get admitted in the Oxford or Cambridge University via the normal academic procedure. OCSI will not assist them in the admissions.Terms and ConditionsRelatives of the members of the executive committee of the OCSI are not eligible to apply.Students who have already received a commitment for full outside support should not apply.Students who get awarded any other scholarship support after getting the OCSI Scholarship should inform the society so that the award may be passed on to the next ranked candidate. | Application: Students applying for the OCSI scholarship should possess an offer letter from Oxford or Cambridge University or any of the affiliated colleges. Students going to apply for the scholarship are supposed to consider a few points, have a look:Application forms for the scholarship can be availed from the official website of Oxford and Cambridge Society of India by mid-February, every year.Completed applications must reach the society by May 31, 2024.All the shortlisted candidates will be required to appear for an interview at New Delhi, around early June 2024.Candidates who will qualify for the interview round will be awarded scholarships by mid-July 2024.Details required for the OCSI Scholarship programPersonal information and contact details of the applicantDetails of the university and program one opted for.Academic background of the applicant.Essay type questions related to work experience, community activities, life experiences, motivational aspects of life, future plans.Applicants can visit the official website of theOxford and Cambridge Society of India (OCSI)for any further details. | Selection: OCSI considers the overall performance of a candidate before deciding the result and awarding the scholarship. It is a highly coveted award since the number of scholarships is limited and there are a huge number of applicants.The major factors which catalyze theshortlisting of the candidatesare:Academic AchievementsCo-curricular AchievementsCommunity / Social WorkResponses Given in the Application FormNote:Shortlisted candidates are required to physically appear for an interview during the selection process.",https://collegedunia.com/scholarship/33,Variable Amount,2026-01-19 15:47:40.972226
34,,Bournemouth Academic Excellence Scholarships,N/A,Postgraduate,"Jan 01 ,2026","Even though the scholarship program is available to both domestic and international students, applicants must provide proof of residency. In addition to that, students must fulfill the eligibility requirements listed below:Any overseas applicant for either a full-time taught postgraduate course delivered on campus or Master's by research delivered on campusYou must have achieved a minimum of an upper second-class Honours degree (or international equivalent grades - see below), or a CPE with a merit profileApplicants for the Graduate Diploma in Law (CPE) and Legal Practice Course (LPC) are eligible for this award.Exclusion:If you are applying for a Postgraduate Diploma, distance learning course or certain courses delivered by the Faculty of Health & Social Sciences, you will not be eligible for this awardYou can receive this scholarship alongside a Sports or Music scholarship, but cannot receive any other academic award.Part-time, student-driven and distance learning (i.e online courses) are not eligible | Application: No separate form is required for Bournemouth Academic Excellence Scholarships. Students will be automatically considered based on their admission application.They must know the required documents needed at the time of admission so that the scholarship process becomes easy for them.BU Admission Checklist for International StudentsAcademic transcripts from previous institutionsAccompanied by certified English translations.Letters of recommendationAcademic reference letter for UGProfessional and academic references for PGStatement of purposeResume (if applicable)English Language ProficiencyIELTS: 6.0; a minimum of 5.5 in every component.To be considered foradmission at Bournemouth University, applicants must provide the documents listed above. Once the applicant is offered admission, the application will be sent for the scholarship evaluation. | Selection: Applications of the eligible candidates will be sent to the selection committee. They will then evaluate the admission application. Accordingly, students will be shortlisted and scholarship will be awarded.Factors Affecting the Scholarship Selection DecisionThe recipients of the Bournemouth Academic Excellence Scholarships are selected based on factors like :Academic ExcellenceFinancial requirementUnconditional admission offer from the universityProficiency in the English languageSelected students will be contacted by the university through an official email.",https://collegedunia.com/scholarship/34,"₹548,485 ($6,056)",2026-01-19 15:47:41.120949
35,,University of Lincoln India Scholarship,N/A,Postgraduate,N/A,"For programs commencing in 2026/27, scholarships are only given to high achieving applicants in the form of a reduction in tuition fees. Apart from this, prospective candidates must fulfill the given requirements for being eligible for the University of Lincoln India Scholarships:Must be a citizen and current resident of India.Must be a first-year student at the PG course at University of Lincoln.conditional/unconditional offer from the university2:2 Bachelor’s degree from a recognized university (minimum grade 50% overall)As an alternative to IELTS, we accept a minimum of 70% in the Standard XII awarded by CISCE or CBSE (for courses requiring IELTS 6.0).Must be proficient in the English language:ELP Test NameMinimum Score RequirementIELTS6.0 overall (no section below 5.5)TOEFL-iBT79 overallPTE Academic58 overall (no section below 51)University of Lincoln PEASS coursePass at 40% or aboveNote:The English language requirements of the prospective candidates should be submitted along with completing the application form atintscholarships@lincoln.ac.uk. | Application: University of Lincoln India Scholarship does not require any separate application form, eligible students will be automatically considered for the award. Only those students who secure conditional or unconditionaladmission to University of Lincolnwill be considered for the scholarship award. | Selection: Selection CriteriaIn order to be eligible to receive the India Scholarship, prospective students must meet the following criteria:Be a national of, or have permanent residence in, India.Hold a Conditional or Unconditional Offer from the University of Lincoln for a full-time postgraduate taught programme commencing in September/October 2025 or January/February 2026.Have been awarded, or be expected to receive, one of the following qualifications:- A Bachelor's degree from a recognised institution with a minimum grade of 2:2 or equivalent.- A Pre-Masters qualification from a recognised institution with a grade comparable to a 2:2.- A Master’s degree from a recognised institution with a merit grade or equivalent.Please visityour country webpagefor more detail regarding regional entry requirements that are equivalent to a 2:2.",https://collegedunia.com/scholarship/35,"₹364,907 ($4,029)",2026-01-19 15:47:41.199311
36,USA,Fulbright-Nehru Masters Fellowships,N/A,Postgraduate,"May 15 ,2024","Indian students must have completed their undergraduate degree from a recognized institution, that is equivalent to a US bachelor's degree such as:four-year bachelor's degree; orcompleted master's degree, orfull-time postgraduate diploma ( if UG degree is of less than four years' duration)Applicants who fulfill this basic requirement must verify the eligibility criteria mentioned below:Academic Qualification:Minimum 55% or higher in an undergraduate degreeSkills:Leadership skills and community service experience.Professional Experience:Minimum of 3-years full-time (paid) experience in the related field of study.Language Proficiency:Minimum acceptableIELTSscore of 6.0 or equivalent TOEFL/PTE score.For the language test waiver, students must contact the USIEF.Eligible Fields of StudyEach applicant should have enrolled in one of the fields of study:EconomicsEnvironmental Science/StudiesHigher Education AdministrationInternational Legal StudiesJournalism and Mass CommunicationPublic HealthSustainable Development/SustainabilityUrban and Regional PlanningNote:Each applicant should choose one field of study that matches his/her chief area of interest. The individual program may have a different structure and curriculum depending upon the academic host institution due to subspecialties, course offerings, and academic requirements. | Application: Fulbright-Nehru Master's Fellowships applications are accepted through an online process. As a prospective candidate, you have to complete the online Application form availablehere.The step by step procedure to fill Fulbright Nehru Master’s fellowship is given below:Step 1:Visit the web page and create an account.Step 2:Provide personal details and click ""Continue"".Step 3:Applicants will receive a pin by email which they would need to enter and proceed.Step 4:Create a password and log in to the account.Step 5:Provide personal, contact, and academic information.Step 6:Provide information on language skills, study plan, personal statement, university preference, etc.Step 7:Upload the required documents.Step 8:Fill in the grant and additional information and submit the form.Review the entire application before submitting it. The application should be free of grammatical and spelling errors.Documents RequiredApplicants are required to submit the below-mentioned documents along with their online applications:Academic transcripts (scanned) from previous institutions, accompanied by certified English translations.Statement of purposeUpdated CV/ResumeAcademic degree and mark sheetsExperience CertificateEnglish Language Proficiency Test ScorecardMinimum 3Letters of recommendations(Professional and academic references for PG)Copy of passportNote:Applicants must go through theInstruction formand keep documents ready beforehand. This will help them to submit the form easily. Students should also be aware ofNehru Master’s Fellowship terms and conditions. | Selection: The candidate did not need to apply separately to U.S. institutions, this isdone by IE/Fulbright Program, which will send their applications to four different institutions.The awardees for theFulbright Scholarshipare selected based on their overall performance in academics, work/experience skills, competency, skills and experience in community service. The selection committee alsoreviews the CV and essay submitted by the student,at the time of application.After a careful examination of all these, the candidates are shortlisted and are informed by the USIEF thereafter. Timeline and Placement Process for the Fellowship:May 14, 2025Application DeadlineEnd June 2025Review of applicationsEarly August 2025USIEF informs the applicants about the review outcomeEnd August 2025Interviews of short-listed candidatesEnd August 2025USIEF notifies principal and alternate nominees. Nominees take tests (such as TOEFL and GRE)October 2025USIEF forwards applications of recommended candidates to the U.S. for J. William Fulbright Foreign Scholarship Board (FFSB) approval and placementMarch/April 2026USIEF notifies the finalists about the FFSB approvalMay/June 2026Pre-Departure OrientationJuly/August 2026Pre-academic training in the U.S. (if required)August/September 2026Degree program beginsPlacement of shortlisted recipients is done by the Institute of International Education (IIE), New York. The recommended candidates are not required to separately apply to US institutions as the IIE/Fulbright program will apply on their behalf to 4 different institutions. While doing so, the preference of the candidates will be taken into consideration.Note:Those candidates that have previously applied to the U.S. Institutes must notify USIEF immediately.",https://collegedunia.com/scholarship/36,Variable Amount,2026-01-19 15:47:41.347168
37,UK,Lady Meherbai D Tata Education Trust Scholarships,N/A,Postgraduate,N/A,"To be eligible for Lady Meherbai D Tata Education Trust Scholarships 2025, you must fulfill the followings criteria:Indian women graduate from a recognizedIndian universityShould have a consistently remarkable academic universityApplied for admission to reputed accrediteduniversities/institutions in the UK, Europe, or the USAMinimum of two years of work experienceStudents applying or studying for part-time, short-term, or correspondence courses or have already connected their studies abroad are not eligible to apply for Lady Meherbai D Tata scholarships.NOTE: Fresh applications for 2025-2026 is now closed. | Application: If you are eligible for Lady Meherbai D Tata Education Trust Scholarships 2025, send an email atigpedulmdtet@tatatrust.org, requesting for the scholarship application form. The email should strictly include the documents mentioned below:Course you wish to pursueThe university you are planning to attendCourse FeesSource of Funding (in brief)Current profileBased on the eligibility criteria and supporting documents, the Trust will email the application form. You have to send the filled-in forms along with required documents to the Trust Office at:Mulla House, 3rd floorHomi Mody StreetMumbai 400 001Lady Meherbai D Tata Education Trust Scholarship application form 2024-25 should be completed very carefully and sent before the prescribed deadline. | Selection: After the evaluation of the applications, the Trust shortlists students for apersonal interview with the Board of Trustees. Information regarding the date and time of the interview will be conveyed to each student via email.Since the Trust’s headquarter is based in Mumbai, all the interviews will be held there itself. The travel expenses for the interview have to be incurred by the students only.A gift scholarship amounting up to 8365 USD per student is awarded to students selected after the personal interview. However, selected students must show proof of at least half funding to cover their tuition fee andstudent housing in the USAor UK.",https://collegedunia.com/scholarship/37,Variable Amount,2026-01-19 15:47:41.277307
38,Canada,CorpFinance International Limited India Bursary,N/A,Undergraduate,"Feb 15 ,2024","In order to be eligible for this scholarship, students are required to fulfill the eligibility criteria mentioned below :Students who possess Indian Citizenship are eligible for this scholarship.Students are required to demonstrate financial needs and outstanding academic merit.Students must have completed their class 12th grade from CBSE or any other recognized boards.They are required to demonstrate English proficiency in terms ofTOEFLorIELTSscores.An IELTS score of 6.0 or a TOEFL score of 90 is required. | Application: Students will be considered automatically for the scholarship when they apply for the courses for which this scholarship is applicable. No separate application is needed.Applications forms can be downloaded from the official website of the university. Students are required to fill the application form and send it through email or courier to the address provided below.Applications should have been submitted before thedeadline i.e. March 1, 2023Students are required to download the pdf of the form available on the website and fill it.Students can submit their application form by either email or courier.Students are required to submit all academic transcripts and other relevant documents demonstrating financial need and academic merit.The supporting documents such as medical documentation are required to be submitted asseparate pdfs.The duly filled application form along with required documents can be mailed toGEAsubmission@dal.ca.The supporting documents such as medical documentation are required to be submitted asseparate pdfs.Alternatively, students can also submit the form through courier to the below-mentioned address:Registrar's Office (Awards) sHenry Hicks Academic Admin Bldg - Rm 130. | Selection: International students are eligible for various scholarships and grants at the University of Dalhousie. They are required to submit theGeneral Entrance Award Applicationirrespective of their nationality.The submission makes students eligible for various scholarships automatically. Indian Students enrolled in theBachelor of Commerce programandBachelor of commercein market management will only be considered for CorpFinance International Limited (Kevin Andrews) India Bursary.They are required to submit documents listed below for the selection:Students are required to submit the transcript of 12th grade.They can also submit certificates of activities that help them to demonstrate their academic excellence.They are required to demonstrate their financial needs.On the basis of the academic merit and the financial need, students will be shortlisted for further rounds of evaluations.Students will be called for Interviews at the university on the basis of no. of scholarships available.The final list of selected candidates will be published on the basis of the required criteria specified along with the number of scholarships available.",https://collegedunia.com/scholarship/38,"₹1,358,550 ($15,000)",2026-01-19 15:47:41.437217
39,UK,The Skoll Scholarship,N/A,,"Jan 07 ,2026","To be eligible for the Skoll Scholarship, applicants must either be a social entrepreneur or be a part of an impact career. An impact career professional is someone who has used entrepreneurial approaches to address the same social or environmental issue. They can demonstrate they have a clear core thread that unites their work throughout their careers.These professionals can demonstrate a commitment to social change in a particular area through this thread of work. To get the benefits of the Skoll Scholarship, the applicant must have spent at least 3 years in his or her social venture, meaning that the applicant has:Started a social ventureTackling a social or environmental issueCreated an impact initiative inside an organizationThe applicant would also have to explain the need for a financial grant like the Skoll Scholarship as well as demonstrate why business education is fundamental in an entrepreneur’s case. | Application: To get the benefits of the Skoll Scholarship, Students are supposed to apply forMBA at Oxford University.Applicants will be required to write a scholarship essay at the time of submitting their MBA application.After being selected, the second part of the scholarship involves logistics and reference form including basic short questions like how the applicant got to know about the opportunity or the references.A written application is followed by a virtual interview and further a personal interview foradmissions at Oxford University. Also, there is no age restriction for applying to the Skoll Scholarship. | Selection: Candidates will receive an update on the status of their scholarship application and whether they have been shortlisted shortly after admissions decisions have been made. Final shortlisting is planned to take place in late March with candidates expected to be invited to interview in April and May. The candidates are also required to take GRE or GMAT. Candidates have to take IELTS or TOEFL as the English Language proficiency tests.Applicants who are unsalaried or have an income which may exhaust if studying forMasters of Business Administration (MBA) in the UKor paying the admissions fee can apply for a fee waiver from the center. The applicants can send in their CV and cover letter atskollscholarship@sbs.ox.ac.uk. Applicants are required to apply for the fee waiver before submitting the MBA application.",https://collegedunia.com/scholarship/39,Variable Amount,2026-01-19 15:47:41.512907
40,Canada,National Overseas Scholarship,N/A,PhD,N/A,"As mentioned earlier, the National Overseas Scholarship is valid at variousuniversities in Canada, Germany, US, etc. Along with fulfilling the admission requirements of the chosen university, applicants are required to fulfill the eligibility criteria established for the scholarship scheme.SC, ST, and OBC candidates applying for the National Overseas Scholarship must fulfill the requirements given below:Educational Qualification:For Masters:Minimum 55% or it's equivalent at the undergraduate level.For Doctorate:Minimum 55% or it's equivalent at the master’s levelApplicants must note that preference will be given to candidates with relevant experience.Maximum Age Limit:Applicants must be below 35 years as of April 1, 2025.Maximum Permissible Income Limit:Total family income should not exceed 6,00,000 INR.Children Criteria:Only two children from the same parent can get the benefit of the National Overseas Scholarship.Along fulfilling these requirements, it is significant that the applicants meet the minimum score requirements of tests likeIELTS,PTE,GMAT, GRE, etc. Every university has its own minimum ELP and other test score requirements.Note:Bachelor Degree courses are NOT ELIGIBLE for the scholarshipCandidates already settled or studying abroad will not be considered for the scholarshipA maximum of two candidates from a single-family are allowed to avail this scholarship | Application: The application form for the National Overseas Scholarship will be made available from the Secondweek of Febrauryon the official website of the Ministry of Social Justice and Empowerment.Students are required to submit the completed application along with necessary documents within the established deadline. The Ministry requires all the students to submit self-attested copies of the following documents:Proof of Date of BirthAll Degree/ Diploma/ Certificate along with mark sheetsIncome Certificate of FamilyOffer Letter College/ UniversityNote:Offer of admission from the chosenuniversity in Germany, Canada, US is mandatory. | Selection: The Selection Committee for the National Overseas Scholarship considers all applications impartially. The selection for the scholarship award is given to the candidates who fulfill the eligibility criteria.Along with that, the National Overseas Scholarship panel focuses on the following factors:Only applications submitted before the deadline will be considered.Preference will be given to those who have already secured admission at auniversity in the UK, Germany, Canada, etc.Students yet to secure admission to an international university will also be considered on a conditional basis.In case of a tie, between two or more applicants, the following procedure will be followed:First of all, available unfilled slots earmarked for female applicants will be given to the most eligible candidates.Next, the remaining slots will be filled up by the eligible applicants exceeding the age limit, i.e., the first available slot will be given to the oldest candidate and subsequent slots in the descending order.Note:Applicants must remember thatNOadditional interviews or group discussions will take place.",https://collegedunia.com/scholarship/40,"₹1,394,778 ($15,400)",2026-01-19 15:47:41.684396
41,,Sussex MBA Scholarship,N/A,Postgraduate,"Sep 30 ,2026","Firstly, to be eligible for the scholarship, candidates need to be from the list of the countries mentioned eligible for the scholarship. The candidates are supposed to perform outstandingly well in their undergraduate degrees so that their application can be considered by the award distributing committee.Except for the above-mentioned points, candidates need to fulfill the eligibility criteria as defined by the university:Secureadmission at the University of Sussexin the MBA program.Previous senior management experienceEligible CountriesStudents from Bangladesh, India, Bhutan, China, Egypt, England, Japan, France, Germany, Malaysia, Maldives, Nepal, Pakistan, Panama, Sri Lanka, and a few more countries are eligible for the award. | Application: The application forms for the Sussex MBA scholarship are available on the official website of the University of Sussex for the September session. The scholarship forms will be accepted via online process. Candidates are supposed to first enroll themselves in theUniversity of Sussex’s MBA programusing the university’s PG online application system.Admission RequirementStudents are required to submit their updated CV and a personal statement.At the time of admissions, all the students must have a lower second-class undergraduate honors degree.Candidates are supposed to have their IELTS score with them for being eligible to take admissions for MBA at the University of Sussex.Note : Once a decision has been reached whether you will be awarded a scholarship you will be notified of the outcome. Should you be offered a scholarship you have to accept/decline the offer within one month. You will not be able to defer the scholarship offer to a different start date.DeadlinesFor starting in September 2026:30 September 2026For starting in January 2027:30 November 2026 | Selection: The major decisions related to the Sussex MBA scholarship are taken based on the criteria defined by the university:Relevant academic qualificationManagerial work experienceAdmission offer to MBA programThe university ensures that all eligible applicants receive benefits of the scholarship program.Note:Students who donot possessup to the mark results in the undergraduate degree and lack of relevant management experience can also apply for the scholarship by writing an informal application of interest atmba@sussex.ac.uk.For these students,an interview sessionwill be conducted.Once the decision has been made by the committee regarding the distribution of the scholarship, as per the defined parameters, the student is notified for the same and is supposed to accept or decline the offer, within one month. As soon as they accept the offer, students mustapply for Tier 4 UK Student visa.",https://collegedunia.com/scholarship/41,"₹452,850 ($5,000)",2026-01-19 15:47:41.773554
42,Canada,BrokerFish International Student Scholarship,N/A,Postgraduate,"Dec 21 ,2025","To become eligible for BrokerFish International student scholarship, there are some general requirements that the students applying for both postgraduate and undergraduate courses need to fulfill:The applicant must be pursuing a degree, diploma, or equivalent program from an accredited university.It must be kept in mind, that employees of academic institutions and their respective family members are not eligible for this scholarship | Application: The interested applicants must apply for this scholarship program in December in order to be a part of this program. The applicants must note that they have to submit required documents on the basis of which they will be assessed. The required documents are as follows:The applicant must submit an essay of 500 – 1000 words on the topic entitled“The Importance of International Health Insurance for Expatriates”.The essay must focus on why international health insurance is important for anyone who is staying away from their home country for studying, working, or for any other purpose.A photograph is required that captures the thrust of the essay that the applicant has written.Proof of admissionmust be submitted along with the above documents in order to prove that you are a qualified student.All these documents must be sent via mail to the BrokerFish on the mail idscholarships@brokerfish.comwith the title as“BrokerFish(year) Scholarship. | Selection: After the applicant has successfully applied for the scholarship, next comes the selection process.The selection of the candidate is done onmerit-basis.Profile of the potential candidate is evaluated so that no deserving student is missed out and the most deserving one gets the reward.Selected students will be intimated through email and will be awarded the scholarship amount of1000 USD, which he/she can use only for covering health insurance expenses.",https://collegedunia.com/scholarship/42,"₹90,570 ($1,000)",2026-01-19 15:47:41.60883
43,,V.V. Giri Global Excellence Scholarship,N/A,Postgraduate,N/A,"To be considered for the V.V. Giri Global Excellence Scholarship, applicants are expected to fulfill the eligibility requirements given below:Classified as an international student (non-EU) for tuition fee and application purposes.Should be a self-funding student.Must belong to eligible countryApplied for a full-timeUCD graduate-taught or undergraduate program.College of Arts and HumanitiesCollege of BusinessCollege of Engineering and ArchitectureCollege of Health and Agricultural SciencesCollege of Social Sciences and LawProof of English language proficiency throughIELTSorTOEFL.Obtained a conditional/ unconditional offer of admission to the university.V.V. Giri Global Excellence ScholarshipRegional EligibilityThe applicants from the following countries are eligible for the V.V. Giri Global Scholarship:NepalIndiaSeychellesAfghanistanBhutanRéunionBangladeshSri LankaPakistanMauritiusMaldives- | Application: The V.V. Giri Global Excellence Scholarship application must be submitted online through the UCD online application portal.Before applying to the program, it is mandatory for the applicants to accept their offer ofadmission to the University College Dublin.Once they have accepted the offer and verified the eligibility, applicants must follow the steps given below:Step I:Log in to the application using the unique user ID and password.Step II:Under Applications menu page, select Scholarship Applications.Step III:Select the V.V. Giri Global Excellence Scholarship tab.Step IV:Answer the general questions and submit the form.Applications for the scholarship are to be made this way only. Be it a UG student or PG student, all have to adhere to the steps mentioned above. However, the V.V. Giri Global Scholarship application deadlines vary for the UG and PG applicants:ProgramScholarship deadlineUndergraduate programs28th February 2025Postgraduate taught programs28th February 2025Please note that candidates who have offers for more than one program must indicate the program for which they would like to apply for the scholarship. | Selection: The UCD’s scholarship selection committee will evaluate each candidate’s V.V. Giri Global Excellence Scholarship Application. Scholarship decision is based primarily on theacademic meritof the candidates.A holistic review of the scholarship application will be taken into consideration.Scores of theexams to study in IrelandCompletion of application on timeReference and statementsA face-to-face or virtual interview of the candidate with a Scholarship Committee member is conducted before the final decision is taken.Recipients of the V.V. Giri Global Excellence Scholarship will be notified within 2 to 4 weeks. Students must accept their scholarship offer within the timeframe indicated in the letter/email. Failing to do so will be considered as declining the scholarship.Note:All decisions taken by the are final and cannot be requested to be reviewed under any circumstances.",https://collegedunia.com/scholarship/43,Variable Amount,2026-01-19 15:47:41.855393
44,,Orange Tulip Scholarship,N/A,PhD,"Apr 01 ,2025","The eligibility requirements for the Orange Tulip Scholarship are quite basic and straightforward. The most important part is the candidates must be Indian citizens not working in the Netherlands.Applicants who fulfil the requirements mentioned below can proceed to apply for the scholarship:Candidates need to be Indian citizens not currently employed orstudying in the Netherlands.Currently applying or already enrolled in one of the premier universities in the Netherlands Orange Tulip Scholarship participants.ShouldNotbe a part of any otherinternational scholarships in the Netherlands. | Application: Applicants must be accepted at any of the eligible institutes for a full-time program or should be in the process of applying foruniversities in the Netherlandsto avail Orange Tulip Scholarship.How to apply for the Orange Tulip Scholarships?The step-by-step process for the application is given below:Establish OTS eligibility and entry requirements.Choose an appropriate course as well as Netherlands college from the Nuffic NESOs Study Finder portal.Apply and get confirmation from the chosen Dutch UniversityComplete the Orange Tulip Scholarship application process by downloading the OTS form from Nesco.Submit the form in word or PDF format (file size should be below 20 MB)Attach copies of required documents.The candidates must email the duly filled application form toots@nesoindia.org.The subject of the email should be: OTS 2024-2025 Application [scheme] - [your name].Example:OTS 2024-2025 Application-Radboud University- Shreya Dey.The filename of each document should have a clear name in English: [document name] - [applicant’s name]. Example:IELTSScore Sheet- Shreya Dey. | Selection: The selection of the Orange Tulip Scholarship India is based on the academic performance and work experience of an applicant. The selection process for the OTS India program includes the following stages:Phase 1: Application Acceptance & Pre-SelectionNeso India will select the highly talented candidates on the basis of the general terms and conditions mentioned on the first page along with the specified requirements set by the Orange Tulip Scholarship benefactor. Only the files which are complete in all respects and attaining the minimum specifications will be sent to the Company or University for necessary formalities.Phase 2:File Review and Selection of RecipientsTo evaluate the overall process of file registration and selection by the Orange Tulip Scholarship benefactor. Will choose the registration file that qualifies the pre-selectionphase. This phase is basically done by the sponsor.Stage 3:Announcement of Scholarship RecipientsEach OrangeTulip Scholarship benefactor will declare the results about selection to Nesco India or directly inform the successful student. If the selected candidate receives the Scholarship Offer, the offer letter must be endorsed and returned to Neso India.The next phase regarding scholarship agreement, tuition fees will be conducted between the scholarship recipient and the sponsor.",https://collegedunia.com/scholarship/44,"₹410,282 ($4,530)",2026-01-19 15:47:41.932542
45,,Deakin India 20% Undergraduate Scholarship,N/A,Postgraduate,N/A,"To be eligible for the Deakin India 20% Undergraduate Scholarship, candidates must enroll in full-time bachelor-levelprograms at Deakin University. There are no age-based restrictions.In addition to the aforementioned criteria, an applicant has to fulfill the following conditions:Must be an Indian residentMust be living in India at the time of application.The application must be made through a Deakin University authorized agent officially licensed in India*.Must have an average score of 70-79.9% in XII, as listed by the National Office for Overseas Skills Recognition (NOOSR).If you have a score of 80% or above in XII, then you are eligible forDeakin India 25% merit scholarship.*There are more than 140 Deakin representatives in India located in Kerala, Ahmedabad, New Delhi, Ludhiana, Vijayawada, and many other states.Note:Non-Indian applicants must fulfill the following eligibility criteria:Must have above average marks of 60-64% in class XII.Must be living in the country of birth. | Application: The Deakin India 20% of Undergraduate Scholarship application should be made online with the help of Deakin's Overseas Representative. Along with the scholarship application, students are required to submit essential academic documents.Student DocumentationSome of the essential supporting documents are mentioned below:English Language proficiency proof (IELTS/TOEFL/CPE/CAE/PTE)Certified academic transcripts.There might be an interview.Copy of passport.Curriculum Vitae (Encouraged but not essential)Personal statement(might be needed)Scholarship applicant ID (if available)Note:Documents must reach the university before the closing date. Documents must be translated into English.",https://collegedunia.com/scholarship/45,Variable Amount,2026-01-19 15:47:41.99951
46,USA,Ritchie-Jennings Memorial Scholarship Program,N/A,Postgraduate,"Feb 07 ,2025","The Ritchie-Jennings Memorial Scholarship Program covers students who are actively seeking education and have a desire to pursue a career in fraud examinations. Many of the scholarship holders have dignified careers in the anti-fraud profession. Students who fulfill the requirements given below are eligible for the Ritchie-Jennings Memorial Scholarship Program:Enrolled in an accrediteduniversity/college in the U.S.Declared their major or minor in either business administration, accounting, finance or criminal justice.Demonstrated a substantial desire to pursue a career in a fraud examination or a likewise profession.CompletedRitchie-Jennings Memorial Scholarship application, supported by the official transcripts and other documentsUndergraduate Students:Must be enrolled for 9 semester hours per term.Graduate Students:Must be enrolled for 6 semester hours per term.Must have submitted two recommendation forms.Note:The applicants will provide information on two recommenders. These individuals will upload information forms on the applicant's behalf. At least one form is preferred to be from a Certified Fraud Examiner or a professor. Applicants are encouraged to sit in circles with the local Fraud Examiners and get acquainted with them.Individuals who are not eligible for the scholarship are :Past recipients (Award/Scholarship)High School Students/SeniorsStudents set to graduate in 2024 (Applicants must be enrolled through 2025)Existing ACFE chapter directors/officers. | Application: Applicants who are interested in theRitchie-Jennings Memorial Scholarshipcan apply for a scholarshiponlineon the ACFE website.Step I:Applicants are required to create an account at the scholarship portal:The application is divided into 8 categories:Applicant General InformationCollege or University InformationAcademic Information (Applicant’s current study structure)Official Transcripts (All official transcripts of institutions/colleges previously attended)Essay Instructions (Sections of essays demanded, entailing the applicant’s history and future anticipations)Recommendation RequestACFE Foundation Affiliation (Information about the applicant’s association with the ACFE Foundation.)Certification (Electronic Signature)Step II: Provide Official transcripts, that prove the complete history of education and institutions attended by the applicant.Step III:Provide two letters of recommendation, one preferable from a Certified Fraud Examiner.Step IV:Fill the application form with necessary details and submit the same.The schedules for the 2024-2025 Scholarship module is:Application status: September 18, 2023Application Deadline: February 5, 2024Scholarship Award Recipients Announced: April 19, 2024Scholarship Awards Distributed: May 4, 2024 | Selection: The ACFE Foundation takes pride in having an unbiased and fair selection process. The committee selects students regardless of their race, religion, color, national origin, age, gender, disability or sexual orientation in any of its programs or activities.The detailed Selection and Non-discrimination Policy of the Foundation entails that applicants will be awarded annually on the basis of:Completed scholarship applicationRecommendation FormsPersonal and professional interests, goals, desired career paths and activities of the applicant.Academic history, as presented through the transcripts.After the submission of the application form, potential candidates will be evaluated and selected by ACFE.",https://collegedunia.com/scholarship/46,"₹905,700 ($10,000)",2026-01-19 15:47:42.228816
47,,Melbourne Graduate Research Scholarships,N/A,PhD,"Mar 31 ,2025","Students must meetentry requirements at University of Melbourneto secure Melbourne Graduate Research Scholarships. In addition to that, they must fulfill the eligibility criteria mentioned below:Enroll in master's or doctoral research degree at the University of Melbourne.Meet minimum English Language requirements.TOEFL: 94+ (Writing: 27; Speaking: 18; Reading & Listening: 13)IELTS: 7.0 (Written: 7.0; no band less than 6.0)PTE: 65+Fulfill Melbourne graduate research degree program entry requirements75% marks in the last year of the four-year Bachelor degreeCompletion of a research project or component at 4th year of the UG or PG degree | Application: Melbourne Graduate Research Scholarshipdoesn’t require additional scholarship application.To be considered, prospective candidates need to submit their admission application form within the stipulated time frameThe prospective candidates will receive a response on their application within 5-6 weeks. Their application will consequently be examined for a wide variety of graduate research Scholarships.Check:University of Melbourne no-application scholarships. | Selection: The process of selection for Melbourne Graduate Research Scholarships is highly competitive in nature and is mainlybased on academic record.The qualified students will beawarded a score and ranked as per their performance in the academics.evaluated on the basis of their research potential in their own domain of study.evaluated on numerous other factors such as successful conclusion of a degree at the same standard of the research program.assessed on the basis of their refereed publications, specific medical qualifications along with devising original music.These above mentioned factors also play a crucial role in getting selected for this Scholarship.",https://collegedunia.com/scholarship/47,"₹12,226,950 ($135,000)",2026-01-19 15:47:42.154734
